Date,open_price
2023-08-03,191.57000732421875
2023-08-04,185.52000427246094
2023-08-07,182.1300048828125
2023-08-08,179.69000244140625
2023-08-09,180.8699951171875
2023-08-10,179.47999572753906
2023-08-11,177.32000732421875
2023-08-14,177.97000122070312
2023-08-15,178.8800048828125
2023-08-16,177.1300048828125
2023-08-17,177.13999938964844
2023-08-18,172.3000030517578
2023-08-21,175.07000732421875
2023-08-22,177.05999755859375
2023-08-23,178.52000427246094
2023-08-24,180.6699981689453
2023-08-25,177.3800048828125
2023-08-28,180.08999633789062
2023-08-29,179.6999969482422
2023-08-30,184.94000244140625
2023-08-31,187.83999633789062
2023-09-01,189.49000549316406
2023-09-05,188.27999877929688
2023-09-06,188.39999389648438
2023-09-07,175.17999267578125
2023-09-08,178.35000610351562
2023-09-11,180.07000732421875
2023-09-12,179.49000549316406
2023-09-13,176.50999450683594
2023-09-14,174.0
2023-09-15,176.47999572753906
2023-09-18,176.47999572753906
2023-09-19,177.52000427246094
2023-09-20,179.25999450683594
2023-09-21,174.5500030517578
2023-09-22,174.6699981689453
2023-09-25,174.1999969482422
2023-09-26,174.82000732421875
2023-09-27,172.6199951171875
2023-09-28,169.33999633789062
2023-09-29,172.02000427246094
2023-10-02,171.22000122070312
2023-10-03,172.25999450683594
2023-10-04,171.08999633789062
2023-10-05,173.7899932861328
2023-10-06,173.8000030517578
2023-10-09,176.80999755859375
2023-10-10,178.10000610351562
2023-10-11,178.1999969482422
2023-10-12,180.07000732421875
2023-10-13,181.4199981689453
2023-10-16,176.75
2023-10-17,176.64999389648438
2023-10-18,175.5800018310547
2023-10-19,176.0399932861328
2023-10-20,175.30999755859375
2023-10-23,170.91000366210938
2023-10-24,173.0500030517578
2023-10-25,171.8800048828125
2023-10-26,170.3699951171875
2023-10-27,166.91000366210938
2023-10-30,169.02000427246094
2023-10-31,169.35000610351562
2023-11-01,171.0
2023-11-02,175.52000427246094
2023-11-03,174.24000549316406
2023-11-06,176.3800048828125
2023-11-07,179.17999267578125
2023-11-08,182.35000610351562
2023-11-09,182.9600067138672
2023-11-10,183.97000122070312
2023-11-13,185.82000732421875
2023-11-14,187.6999969482422
2023-11-15,187.85000610351562
2023-11-16,189.57000732421875
2023-11-17,190.25
2023-11-20,189.88999938964844
2023-11-21,191.41000366210938
2023-11-22,191.49000549316406
2023-11-24,190.8699951171875
2023-11-27,189.9199981689453
2023-11-28,189.77999877929688
2023-11-29,190.89999389648438
2023-11-30,189.83999633789062
2023-12-01,190.3300018310547
2023-12-04,189.97999572753906
2023-12-05,190.2100067138672
2023-12-06,194.4499969482422
2023-12-07,193.6300048828125
2023-12-08,194.1999969482422
2023-12-11,193.11000061035156
2023-12-12,193.0800018310547
2023-12-13,195.08999633789062
2023-12-14,198.02000427246094
2023-12-15,197.52999877929688
2023-12-18,196.08999633789062
2023-12-19,196.16000366210938
2023-12-20,196.89999389648438
2023-12-21,196.10000610351562
2023-12-22,195.17999267578125
2023-12-26,193.61000061035156
2023-12-27,192.49000549316406
2023-12-28,194.13999938964844
2023-12-29,193.89999389648438
2024-01-02,187.14999389648438
2024-01-03,184.22000122070312
2024-01-04,182.14999389648438
2024-01-05,181.99000549316406
2024-01-08,182.08999633789062
